time,inlet-p,outlet-p
14.4,102305.01187558,101325
14.5,102246.12881178,101325
14.6,102190.79255586,101325
14.7,102138.78843333,101325
14.8,102089.9148824,101325
14.9,102043.98263973,101325
15,102000.81397795,101325
15.1,101960.24199182,101325
15.2,101922.10992967,101325
15.3,101886.27056725,101325
15.4,101852.58562112,101325
15.5,101820.92519902,101325
15.6,101791.16728478,101325
15.7,101763.19725555,101325
15.8,101736.90742922,101325
15.9,101712.19664006,101325
16,101688.96984077,101325
16.1,101667.13772931,101325
16.2,101646.61639878,101325
16.3,101627.32700901,101325
16.4,101609.19547844,101325
16.5,101592.15219494,101325
16.6,101576.13174448,101325
16.7,101561.07265643,101325
16.8,101546.91716455,101325
16.9,101533.61098252,101325
17,101521.10309331,101325
17.1,101509.34555138,101325
17.2,101498.29329691,101325
17.3,101498.29329691,101325
17.4,101498.29329691,101325
17.5,101498.29329691,101325
17.6,101498.29329691,101325
17.7,101498.29329691,101325
17.8,101498.29329691,101325
17.9,101498.29329691,101325
18,101498.29329691,101325
18.1,101498.29329691,101325
18.2,101498.29329691,101325
18.3,101498.29329691,101325
18.4,101498.29329691,101325
18.5,101498.29329691,101325
18.6,101498.29329691,101325
18.7,101498.29329691,101325
18.8,101498.29329691,101325
18.9,101498.29329691,101325
19,101498.29329691,101325
19.1,101498.29329691,101325
19.2,101498.29329691,101325
19.3,101498.29329691,101325
19.4,101498.29329691,101325
19.5,101498.29329691,101325
19.6,101498.29329691,101325
19.7,101498.29329691,101325
19.8,101498.29329691,101325
19.9,101498.29329691,101325
20,101498.29329691,101325
20.1,101498.29329691,101325
20.2,101498.29329691,101325
20.3,101498.29329691,101325
20.4,101498.29329691,101325
20.5,101498.29329691,101325
20.6,101498.29329691,101325
20.7,101498.29329691,101325
20.8,101498.29329691,101325
20.9,101498.29329691,101325
21,101498.29329691,101325
21.1,101498.29329691,101325
21.2,101498.29329691,101325
21.3,101498.29329691,101325
21.4,101498.29329691,101325
21.5,101498.29329691,101325
21.6,101498.29329691,101325
21.7,101498.29329691,101325
21.8,101498.29329691,101325
21.9,101498.29329691,101325
22,101498.29329691,101325
22.1,101498.29329691,101325
22.2,101498.29329691,101325
22.3,101498.29329691,101325
22.4,101498.29329691,101325
22.5,101498.29329691,101325
22.6,101498.29329691,101325
22.7,101498.29329691,101325
22.8,101498.29329691,101325
22.9,101498.29329691,101325
23,101498.29329691,101325
23.1,101498.29329691,101325
23.2,101498.29329691,101325
23.3,101498.29329691,101325
23.4,101498.29329691,101325
23.5,101498.29329691,101325
23.6,101498.29329691,101325
23.7,101498.29329691,101325
23.8,101498.29329691,101325
23.9,101498.29329691,101325
24,101498.29329691,101325
24.1,101498.29329691,101325
24.2,101498.29329691,101325
24.3,101498.29329691,101325
24.4,101498.29329691,101325
24.5,101498.29329691,101325
24.6,101498.29329691,101325
24.7,101498.29329691,101325
24.8,101498.29329691,101325
24.9,101498.29329691,101325
25,101498.29329691,101325
25.1,101498.29329691,101325
25.2,101498.29329691,101325
25.3,101498.29329691,101325
25.4,101498.29329691,101325
25.5,101498.29329691,101325
25.6,101498.29329691,101325
25.7,101498.29329691,101325
25.8,101498.29329691,101325
25.9,101498.29329691,101325
26,101498.29329691,101325
26.1,101498.29329691,101325
26.2,101498.29329691,101325
26.3,101498.29329691,101325
26.4,101498.29329691,101325
26.5,101498.29329691,101325
26.6,101498.29329691,101325
26.7,101498.29329691,101325
26.8,101498.29329691,101325
26.9,101498.29329691,101325
27,101498.29329691,101325
27.1,101498.29329691,101325
27.2,101498.29329691,101325
27.3,101498.29329691,101325
27.4,101498.29329691,101325
27.5,101498.29329691,101325
27.6,101498.29329691,101325
27.7,101498.29329691,101325
27.8,101498.29329691,101325
27.9,101498.29329691,101325
28,101498.29329691,101325
28.1,101498.29329691,101325
28.2,101498.29329691,101325
28.3,101498.29329691,101325
28.4,101498.29329691,101325
28.5,101498.29329691,101325
28.6,101498.29329691,101325
28.7,101498.29329691,101325
28.8,101498.29329691,101325
28.9,101498.29329691,101325
29,101498.29329691,101325
29.1,101498.29329691,101325
29.2,101498.29329691,101325
29.3,101498.29329691,101325
29.4,101498.29329691,101325
29.5,101498.29329691,101325
29.6,101498.29329691,101325
29.7,101498.29329691,101325
29.8,101498.29329691,101325
29.9,101498.29329691,101325
30,101498.29329691,101325
30.1,101498.29329691,101325
30.2,101498.29329691,101325
30.3,101498.29329691,101325
30.4,101498.29329691,101325
30.5,101498.29329691,101325
30.6,101498.29329691,101325
30.7,101498.29329691,101325
30.8,101498.29329691,101325
30.9,101498.29329691,101325
31,101498.29329691,101325
31.1,101498.29329691,101325
31.2,101498.29329691,101325
31.3,101498.29329691,101325
31.4,101498.29329691,101325
31.5,101498.29329691,101325
31.6,101498.29329691,101325
31.7,101498.29329691,101325
31.8,101498.29329691,101325
31.9,101498.29329691,101325
32,101498.29329691,101325
32.1,101498.29329691,101325
32.2,101498.29329691,101325
32.3,101498.29329691,101325
32.4,101498.29329691,101325
32.5,101498.29329691,101325
32.6,101498.29329691,101325
32.7,101498.29329691,101325
32.8,101498.29329691,101325
32.9,101498.29329691,101325
33,101498.29329691,101325
33.1,101498.29329691,101325
33.2,101498.29329691,101325
33.3,101498.29329691,101325
33.4,101498.29329691,101325
33.5,101498.29329691,101325
33.6,101498.29329691,101325
33.7,101498.29329691,101325
33.8,101498.29329691,101325
33.9,101498.29329691,101325
34,101498.29329691,101325
34.1,101498.29329691,101325
34.2,101498.29329691,101325
34.3,101498.29329691,101325
34.4,101498.29329691,101325
34.5,101498.29329691,101325
34.6,101498.29329691,101325
34.7,101498.29329691,101325
34.8,101498.29329691,101325
34.9,101498.29329691,101325
35,101498.29329691,101325
35.1,101498.29329691,101325
35.2,101498.29329691,101325
35.3,101498.29329691,101325
35.4,101498.29329691,101325
35.5,101498.29329691,101325
35.6,101498.29329691,101325
35.7,101498.29329691,101325
35.8,101498.29329691,101325
35.9,101498.29329691,101325
36,101498.29329691,101325
36.1,101498.29329691,101325
36.2,101498.29329691,101325
36.3,101498.29329691,101325
36.4,101498.29329691,101325
36.5,101498.29329691,101325
36.6,101498.29329691,101325
36.7,101498.29329691,101325
36.8,101498.29329691,101325
36.9,101498.29329691,101325
37,101498.29329691,101325
37.1,101498.29329691,101325
37.2,101498.29329691,101325
37.3,101498.29329691,101325
37.4,101498.29329691,101325
37.5,101498.29329691,101325
37.6,101498.29329691,101325
37.7,101498.29329691,101325
37.8,101498.29329691,101325
37.9,101498.29329691,101325
38,101498.29329691,101325
38.1,101498.29329691,101325
38.2,101498.29329691,101325
38.3,101498.29329691,101325
38.4,101498.29329691,101325
38.5,101498.29329691,101325
38.6,101498.29329691,101325
38.7,101498.29329691,101325
38.8,101498.29329691,101325
38.9,101498.29329691,101325
39,101498.29329691,101325
39.1,101498.29329691,101325
39.2,101498.29329691,101325
39.3,101498.29329691,101325
39.4,101498.29329691,101325
39.5,101498.29329691,101325
39.6,101498.29329691,101325
39.7,101498.29329691,101325
39.8,101498.29329691,101325
39.9,101498.29329691,101325
40,101498.29329691,101325
40.1,101498.29329691,101325
40.2,101498.29329691,101325
40.3,101498.29329691,101325
40.4,101498.29329691,101325
40.5,101498.29329691,101325
40.6,101498.29329691,101325
40.7,101498.29329691,101325
40.8,101498.29329691,101325
40.9,101498.29329691,101325
41,101498.29329691,101325
41.1,101498.29329691,101325
41.2,101498.29329691,101325
41.3,101498.29329691,101325
41.4,101498.29329691,101325
41.5,101498.29329691,101325
41.6,101498.29329691,101325
41.7,101498.29329691,101325
41.8,101498.29329691,101325
41.9,101498.29329691,101325
42,101498.29329691,101325
42.1,101498.29329691,101325
42.2,101498.29329691,101325
42.3,101498.29329691,101325
42.4,101498.29329691,101325
42.5,101498.29329691,101325
42.6,101498.29329691,101325
42.7,101498.29329691,101325
42.8,101498.29329691,101325
42.9,101498.29329691,101325
43,101498.29329691,101325
43.1,101498.29329691,101325
43.2,101498.29329691,101325
43.3,101498.29329691,101325
43.4,101498.29329691,101325
43.5,101498.29329691,101325
43.6,101498.29329691,101325
43.7,101498.29329691,101325
43.8,101498.29329691,101325
43.9,101498.29329691,101325
44,101498.29329691,101325
44.1,101498.29329691,101325
44.2,101498.29329691,101325
44.3,101498.29329691,101325
44.4,101498.29329691,101325
44.5,101498.29329691,101325
44.6,101498.29329691,101325
44.7,101498.29329691,101325
44.8,101498.29329691,101325
44.9,101498.29329691,101325
45,101498.29329691,101325
45.1,101498.29329691,101325
45.2,101498.29329691,101325
45.3,101498.29329691,101325
45.4,101498.29329691,101325
45.5,101498.29329691,101325
45.6,101498.29329691,101325
45.7,101498.29329691,101325
45.8,101498.29329691,101325
45.9,101498.29329691,101325
46,101498.29329691,101325
46.1,101498.29329691,101325
46.2,101498.29329691,101325
46.3,101498.29329691,101325
46.4,101498.29329691,101325
46.5,101498.29329691,101325
46.6,101498.29329691,101325
46.7,101498.29329691,101325
46.8,101498.29329691,101325
46.9,101498.29329691,101325
47,101498.29329691,101325
47.1,101498.29329691,101325
47.2,101498.29329691,101325
47.3,101498.29329691,101325
47.4,101498.29329691,101325
47.5,101498.29329691,101325
47.6,101498.29329691,101325
47.7,101498.29329691,101325
47.8,101498.29329691,101325
47.9,101498.29329691,101325
48,101498.29329691,101325
48.1,101498.29329691,101325
48.2,101498.29329691,101325
48.3,101498.29329691,101325
48.4,101498.29329691,101325
48.5,101498.29329691,101325
48.6,101498.29329691,101325
48.7,101498.29329691,101325
48.8,101498.29329691,101325
48.9,101498.29329691,101325
49,101498.29329691,101325
49.1,101498.29329691,101325
49.2,101498.29329691,101325
49.3,101498.29329691,101325
49.4,101498.29329691,101325
49.5,101498.29329691,101325
49.6,101498.29329691,101325
49.7,101498.29329691,101325
49.8,101498.29329691,101325
49.9,101498.29329691,101325
50,101498.29329691,101325
